mu,qid,nDCG_R1,nDCG_R2
0.0001,40.0,0.8494408507426365,0.8107710233751703
0.01,1.0,0.8309364485389245,0.846244590911567
0.01,2.0,0.857846574029617,0.8526683895759497
0.01,3.0,0.762219044103435,0.762219044103435
0.01,4.0,0.2622812382114722,0.2620853129386954
0.01,5.0,0.6271781392380269,0.6301724124283802
0.01,6.0,0.912720763928884,0.9140466706796693
0.01,7.0,0.8599417713916152,0.9329716554741067
0.01,8.0,0.38097179678159365,0.38097179678159365
0.01,9.0,0.0,0.0
0.01,10.0,0.7841237595274118,0.7852050993475593
0.01,11.0,0.4374122218045709,0.5122996922603008
0.01,12.0,0.7221192534243551,0.7195205483053783
0.01,13.0,0.4711911994291828,0.47276612002829255
0.01,14.0,0.7504086095352421,0.7484544536405822
0.01,15.0,0.6382444052016361,0.5881695714951968
0.01,16.0,0.6677615765914529,0.7644987988324343
0.01,17.0,0.8619094322616971,0.880075154469443
0.01,18.0,0.9269415139939852,0.9318873093296972
0.01,19.0,0.666168282949923,0.5793942832951089
0.01,20.0,0.9701302433320526,0.9710392122420826
0.01,21.0,0.8356600999627205,0.8334423370151701
0.01,22.0,0.7366923179219098,0.7323206875118395
0.01,23.0,0.8847389571249875,0.8846051885216991
0.01,24.0,0.9184994062271492,0.9233944831791052
0.01,25.0,0.8085932807044193,0.807779093318143
0.01,26.0,0.8446739056624823,0.8411185315463247
0.01,27.0,0.9358044679321569,0.9358044679321569
0.01,28.0,0.944361066216116,0.9418574737323504
0.01,29.0,0.8444572409800877,0.8202502775238237
0.01,30.0,0.8808896445096234,0.8808896445096234
0.01,31.0,0.34812738416278666,0.35167832684734923
0.01,32.0,0.2994088305679212,0.2839494431967705
0.01,33.0,0.7205185625345784,0.7243556455160098
0.01,34.0,0.6873022905637863,0.6857282385326757
0.01,35.0,0.7406627183009067,0.6427353621383923
0.01,36.0,0.976366261487284,0.9752679895331886
0.01,37.0,0.7435792705398868,0.7874090770790717
0.01,38.0,0.9335173975666324,0.9453382783356529
0.01,39.0,0.9719943443993511,0.9734492312175966
0.01,40.0,0.8662182297358487,0.8662182297358487
1.0,1.0,0.8364713928251899,0.8472714224617472
1.0,2.0,0.8490650495555893,0.833147647798252
1.0,3.0,0.7459413854057952,0.7435586343418025
1.0,4.0,0.25711046737534016,0.27142937711121645
1.0,5.0,0.6642047612890934,0.6294008319792094
1.0,6.0,0.9241256794184907,0.930755340365074
1.0,7.0,0.9305632475767501,0.9360082949335767
1.0,8.0,0.38097179678159365,0.38097179678159365
1.0,9.0,0.0,0.0
1.0,10.0,0.8151962527342926,0.7836428577857835
1.0,11.0,0.5099261368517586,0.6308232693696084
1.0,12.0,0.7199773775799176,0.7252006743880972
1.0,13.0,0.4583099850885371,0.4583099850885371
1.0,14.0,0.7780650091691769,0.7837834106474282
1.0,15.0,0.5138749241456431,0.6139491604128718
1.0,16.0,0.7845182542274431,0.752234826485513
1.0,17.0,0.8599859952763825,0.8746057802173831
1.0,18.0,0.9282851645109501,0.9320194735881872
1.0,19.0,0.6549040069641665,0.6290802821216858
1.0,20.0,0.9655616430301298,0.9668620583733335
1.0,21.0,0.8107292573564864,0.8107292573564864
1.0,22.0,0.8928692285678204,0.8923167215553623
1.0,23.0,0.8834844738000237,0.8841606929965747
1.0,24.0,0.9273835820616646,0.9184994062271492
1.0,25.0,0.8205136415143893,0.8248894466617906
1.0,26.0,0.8503490718309931,0.8503490718309931
1.0,27.0,0.932127583573335,0.932127583573335
1.0,28.0,0.9428005952239759,0.9434039678986309
1.0,29.0,0.8516524622049824,0.8287739126088317
1.0,30.0,0.8831539646074478,0.8808896445096234
1.0,31.0,0.3505024131195661,0.3506379010622432
1.0,32.0,0.2839494431967705,0.2839494431967705
1.0,33.0,0.7196372486008927,0.7243556455160098
1.0,34.0,0.6190450953833722,0.4290419356995601
1.0,35.0,0.6640565901693796,0.6483275599187718
1.0,36.0,0.9767514386170004,0.9780740439803
1.0,37.0,0.7783355860841272,0.7783355860841272
1.0,38.0,0.9453382783356529,0.943164154097805
1.0,39.0,0.9664697328709919,0.9664697328709919
1.0,40.0,0.8378654121803345,0.8139056871741042
100.0,1.0,0.8364713928251899,0.8472714224617472
100.0,2.0,0.8301284466250598,0.833147647798252
100.0,3.0,0.7459413854057952,0.7435586343418025
100.0,4.0,0.26643091657511264,0.27142937711121645
100.0,5.0,0.6331384933747995,0.6294008319792094
100.0,6.0,0.9241256794184907,0.930755340365074
100.0,7.0,0.9282252685334088,0.9313911075285735
100.0,8.0,0.38097179678159365,0.38097179678159365
100.0,9.0,0.0,0.0
100.0,10.0,0.8114533501936401,0.7836428577857835
100.0,11.0,0.6892384552931615,0.6308232693696084
100.0,12.0,0.734975711698436,0.7247980060790565
100.0,13.0,0.4583099850885371,0.4583099850885371
100.0,14.0,0.7776360369596322,0.7837834106474282
100.0,15.0,0.5894419961502693,0.6139491604128718
100.0,16.0,0.7573563562074144,0.752234826485513
100.0,17.0,0.8612985752849788,0.8629895193361868
100.0,18.0,0.9327963397904937,0.9320194735881872
100.0,19.0,0.6549040069641665,0.6290802821216858
100.0,20.0,0.965865140249002,0.9667173376089323
100.0,21.0,0.8107292573564864,0.8107292573564864
100.0,22.0,0.8928692285678204,0.8923167215553623
100.0,23.0,0.8834103206473816,0.8881238799143584
100.0,24.0,0.9184994062271492,0.9208360303345935
100.0,25.0,0.8248894466617906,0.8248894466617906
100.0,26.0,0.8503490718309931,0.8503490718309931
100.0,27.0,0.932127583573335,0.9306837591962069
100.0,28.0,0.9434039678986309,0.9400888808244044
100.0,29.0,0.8499840258151644,0.8385725229629524
100.0,30.0,0.8808896445096234,0.8808896445096234
100.0,31.0,0.3505024131195661,0.3506379010622432
