alpha,beta,gamma,nDCG
1.0,0.4,0.1,0.704572010725347
1.0,0.4,0.15,0.7054472735615038
1.0,0.4,0.2,0.7054068094664376
1.0,0.5,0.0,0.70494878292703
1.0,0.5,0.05,0.7050077075800055
1.0,0.5,0.1,0.7051472937443427
1.0,0.5,0.15,0.7048777904529072
1.0,0.5,0.2,0.7050722183002867
1.0,0.75,0.0,0.7036701496850283
1.0,0.75,0.05,0.7045711748315252
1.0,0.75,0.1,0.7054458476121896
1.0,0.75,0.15,0.7055249194080362
1.0,0.75,0.2,0.7044948829719775
1.0,1.0,0.0,0.7034757190585024
1.0,1.0,0.05,0.703588397291661
1.0,1.0,0.1,0.7043751035795188
1.0,1.0,0.15,0.7043899525612892
1.0,1.0,0.2,0.7031500017672512
1.0,1.25,0.0,0.7031053065813435
1.0,1.25,0.05,0.7041010951607621
1.0,1.25,0.1,0.7037388964841006
1.0,1.25,0.15,0.7037757021359645
1.0,1.25,0.2,0.7037245928614143
1.25,0.0,0.0,0.7345921635823556
1.25,0.0,0.05,0.734606242443138
1.25,0.0,0.1,0.7346444747813409
1.25,0.0,0.15,0.7313681281606881
1.25,0.0,0.2,0.7314480257123719
1.25,0.15,0.0,0.7112178924469845
1.25,0.15,0.05,0.7122918147555634
1.25,0.15,0.1,0.7121887757590958
1.25,0.15,0.15,0.7149686315255182
1.25,0.15,0.2,0.7182593120903596
1.25,0.25,0.0,0.7073422109156093
1.25,0.25,0.05,0.7066653846330098
1.25,0.25,0.1,0.7067599638644892
1.25,0.25,0.15,0.7080102373619328
1.25,0.25,0.2,0.7075887546660894
1.25,0.4,0.0,0.7055822932599212
1.25,0.4,0.05,0.7061146772385771
1.25,0.4,0.1,0.7056091137068264
1.25,0.4,0.15,0.7060559454067078
1.25,0.4,0.2,0.7063720457838129
1.25,0.5,0.0,0.7050561396686273
1.25,0.5,0.05,0.7052365296836631
1.25,0.5,0.1,0.7053843614806439
1.25,0.5,0.15,0.7053166843724221
1.25,0.5,0.2,0.7053388598158248
1.25,0.75,0.0,0.7044346033350034
1.25,0.75,0.05,0.7047405350914555
1.25,0.75,0.1,0.7045762617045709
1.25,0.75,0.15,0.7056171465018446
1.25,0.75,0.2,0.7049779848370263
1.25,1.0,0.0,0.703610143562952
1.25,1.0,0.05,0.7037486555627072
1.25,1.0,0.1,0.7044269715746111
1.25,1.0,0.15,0.7053467039401102
1.25,1.0,0.2,0.7054481853012606
1.25,1.25,0.0,0.7034757190585024
1.25,1.25,0.05,0.7036210625790655
1.25,1.25,0.1,0.7043320694463404
1.25,1.25,0.15,0.7043652578548389
1.25,1.25,0.2,0.7039983400192379
1.5,0.0,0.0,0.7345921635823556
1.5,0.0,0.05,0.7345984248646743
1.5,0.0,0.1,0.7346462590712473
1.5,0.0,0.15,0.7347137007016242
1.5,0.0,0.2,0.7313748143706676
1.5,0.15,0.0,0.7132970552726334
1.5,0.15,0.05,0.713300528089649
1.5,0.15,0.1,0.7140245592151455
1.5,0.15,0.15,0.7175445727986236
1.5,0.15,0.2,0.7187343073780772
1.5,0.25,0.0,0.7074760326293281
1.5,0.25,0.05,0.7076075001513175
1.5,0.25,0.1,0.7080054726430566
1.5,0.25,0.15,0.7082063305723056
1.5,0.25,0.2,0.7113815324101337
1.5,0.4,0.0,0.706425761827038
1.5,0.4,0.05,0.7066014267214611
1.5,0.4,0.1,0.706668137984079
1.5,0.4,0.15,0.7066292720175646
1.5,0.4,0.2,0.7063919648964796
1.5,0.5,0.0,0.7054617729127413
1.5,0.5,0.05,0.7059608019872468
1.5,0.5,0.1,0.7059450269852319
1.5,0.5,0.15,0.7052549041406586
1.5,0.5,0.2,0.7060826916632396
1.5,0.75,0.0,0.70494878292703
1.5,0.75,0.05,0.7049433155240287
1.5,0.75,0.1,0.705170443865345
1.5,0.75,0.15,0.7051472937443427
1.5,0.75,0.2,0.7049770429348008
1.5,1.0,0.0,0.7045927713717869
1.5,1.0,0.05,0.7047038891770773
1.5,1.0,0.1,0.7048567904282079
1.5,1.0,0.15,0.7052826122603075
1.5,1.0,0.2,0.7054646569872262
1.5,1.25,0.0,0.703627478991302
1.5,1.25,0.05,0.7038192620841943
1.5,1.25,0.1,0.7037407691725879
1.5,1.25,0.15,0.7033772039969498
1.5,1.25,0.2,0.7053140995728444
1.75,0.0,0.0,0.7345921635823556
1.75,0.0,0.05,0.734594784807831
1.75,0.0,0.1,0.7346419885450856
1.75,0.0,0.15,0.7346946636022428
1.75,0.0,0.2,0.7347206991910368
1.75,0.15,0.0,0.7168138469303644
1.75,0.15,0.05,0.7169084599645172
1.75,0.15,0.1,0.7184501032008141
1.75,0.15,0.15,0.7205047269632805
1.75,0.15,0.2,0.7237311475422413
1.75,0.25,0.0,0.7088051890660746
1.75,0.25,0.05,0.709468875500266
1.75,0.25,0.1,0.7105953261844248
1.75,0.25,0.15,0.7107651433225536
1.75,0.25,0.2,0.711539094102154
1.75,0.4,0.0,0.7063607897541444
1.75,0.4,0.05,0.7069983380693043
1.75,0.4,0.1,0.7066674451639261
1.75,0.4,0.15,0.7065495064364087
1.75,0.4,0.2,0.7065705901091949
1.75,0.5,0.0,0.7063591794667516
1.75,0.5,0.05,0.7062552272832905
1.75,0.5,0.1,0.7062291732668788
1.75,0.5,0.15,0.7061533842090935
1.75,0.5,0.2,0.7062189062599249
1.75,0.75,0.0,0.7050717769432349
1.75,0.75,0.05,0.7051712530664874
1.75,0.75,0.1,0.7054036571712463
1.75,0.75,0.15,0.705418258559021
1.75,0.75,0.2,0.7047618555523547
1.75,1.0,0.0,0.7044657885906496
1.75,1.0,0.05,0.7048107399097903
1.75,1.0,0.1,0.7046728774517141
1.75,1.0,0.15,0.7047761278181126
1.75,1.0,0.2,0.7057300192949196
1.75,1.25,0.0,0.705477468153711
1.75,1.25,0.05,0.7046721417636593
1.75,1.25,0.1,0.7045065570407074
1.75,1.25,0.15,0.7047537248697738
1.75,1.25,0.2,0.7054581365726016
2.0,0.0,0.0,0.7345921635823556
2.0,0.0,0.05,0.7345956554212154
2.0,0.0,0.1,0.7346092261621392
2.0,0.0,0.15,0.7346420212062633
2.0,0.0,0.2,0.7347137007016242
2.0,0.15,0.0,0.717835033555838
2.0,0.15,0.05,0.719051131484148
2.0,0.15,0.1,0.7210966688519902
2.0,0.15,0.15,0.7225817208875402
2.0,0.15,0.2,0.7253778416490196
2.0,0.25,0.0,0.7110068528439153
2.0,0.25,0.05,0.7113503550931994
2.0,0.25,0.1,0.7125195649030943
2.0,0.25,0.15,0.7122693500617628
2.0,0.25,0.2,0.7121415416561334
2.0,0.4,0.0,0.7073422109156093
2.0,0.4,0.05,0.7074798924511969
2.0,0.4,0.1,0.7065141332963127
2.0,0.4,0.15,0.7068229485389034
