alpha,beta,gamma,nDCG
1.0,0.0,0.0,0.8003207788452142
1.0,0.75,0.15,0.8635512790394195
1.0,0.5,0.1,0.863331661292633
1.0,0.95,0.05,0.8590964608111001
1.0,1.0,0.0,0.8564243000747455
0.5,0.9,0.5,0.870372074590904
