alpha,beta,gamma,qid,nDCG
0.5,0.0,0.1,33.0,0.7632598555450889
0.5,0.0,0.1,34.0,0.4023799058257125
0.5,0.0,0.1,35.0,0.7171988514525923
0.5,0.0,0.1,36.0,0.9614920168610935
0.5,0.0,0.1,37.0,0.7617266099599218
0.5,0.0,0.1,38.0,0.9272865347449382
0.5,0.0,0.1,39.0,0.9538780992123436
0.5,0.0,0.1,40.0,0.8654047481116859
0.5,0.0,0.15,1.0,0.765003319211888
0.5,0.0,0.15,2.0,0.7837400508859813
0.5,0.0,0.15,3.0,0.8029298241732131
0.5,0.0,0.15,4.0,0.2861563362915474
0.5,0.0,0.15,5.0,0.5969997775972987
0.5,0.0,0.15,6.0,0.9182645877467076
0.5,0.0,0.15,7.0,0.8187576572086069
0.5,0.0,0.15,8.0,0.38097179678159365
0.5,0.0,0.15,9.0,0.0
0.5,0.0,0.15,10.0,0.7460981570733123
0.5,0.0,0.15,11.0,0.534147486649862
0.5,0.0,0.15,12.0,0.69603921604241
0.5,0.0,0.15,13.0,0.5106153930421619
0.5,0.0,0.15,14.0,0.7505998004122226
0.5,0.0,0.15,15.0,0.5898758439556891
0.5,0.0,0.15,16.0,0.750025488910772
0.5,0.0,0.15,17.0,0.8768363477573421
0.5,0.0,0.15,18.0,0.9392213116932372
0.5,0.0,0.15,19.0,0.6951006415503421
0.5,0.0,0.15,20.0,0.9589321048395087
0.5,0.0,0.15,21.0,0.8109144005428242
0.5,0.0,0.15,22.0,0.7201762435689703
0.5,0.0,0.15,23.0,0.8581051237730757
0.5,0.0,0.15,24.0,0.9473974375618035
0.5,0.0,0.15,25.0,0.7809469315392387
0.5,0.0,0.15,26.0,0.8828896553056066
0.5,0.0,0.15,27.0,0.9452564646165647
0.5,0.0,0.15,28.0,0.9676096161171498
0.5,0.0,0.15,29.0,0.7920366796866464
0.5,0.0,0.15,30.0,0.9181821208516885
0.5,0.0,0.15,31.0,0.34111602847245287
0.5,0.0,0.15,32.0,0.5599783613971648
0.5,0.0,0.15,33.0,0.7591409989979144
0.5,0.0,0.15,34.0,0.4012151265637892
0.5,0.0,0.15,35.0,0.7171988514525923
0.5,0.0,0.15,36.0,0.9614920168610935
0.5,0.0,0.15,37.0,0.7616284669568242
0.5,0.0,0.15,38.0,0.9278594099205906
0.5,0.0,0.15,39.0,0.9538780992123436
0.5,0.0,0.15,40.0,0.8648520682273216
0.5,0.0,0.2,1.0,0.7644621565311506
0.5,0.0,0.2,2.0,0.7839109063884953
0.5,0.0,0.2,3.0,0.8032806821733341
0.5,0.0,0.2,4.0,0.2861563362915474
0.5,0.0,0.2,5.0,0.5971421789190416
0.5,0.0,0.2,6.0,0.9180448694783534
0.5,0.0,0.2,7.0,0.817997969660612
0.5,0.0,0.2,8.0,0.38097179678159365
0.5,0.0,0.2,9.0,0.0
0.5,0.0,0.2,10.0,0.7460981570733123
0.5,0.0,0.2,11.0,0.5332675999957383
0.5,0.0,0.2,12.0,0.6956295311981695
0.5,0.0,0.2,13.0,0.5106153930421619
0.5,0.0,0.2,14.0,0.7508267652408878
0.5,0.0,0.2,15.0,0.5898758439556891
0.5,0.0,0.2,16.0,0.7495578397721306
0.5,0.0,0.2,17.0,0.8763786765799257
0.5,0.0,0.2,18.0,0.9396453701232823
0.5,0.0,0.2,19.0,0.6954575910840827
0.5,0.0,0.2,20.0,0.9589682848438975
0.5,0.0,0.2,21.0,0.8121261582480804
0.5,0.0,0.2,22.0,0.7204313958470732
0.5,0.0,0.2,23.0,0.8581511839020508
0.5,0.0,0.2,24.0,0.947371231658016
0.5,0.0,0.2,25.0,0.7809469315392387
0.5,0.0,0.2,26.0,0.8828388438326351
0.5,0.0,0.2,27.0,0.9454695376335829
0.5,0.0,0.2,28.0,0.9674339257530647
0.5,0.0,0.2,29.0,0.7917866715502833
0.5,0.0,0.2,30.0,0.9185038470749592
0.5,0.0,0.2,31.0,0.34111602847245287
0.5,0.0,0.2,32.0,0.5599783613971648
0.5,0.0,0.2,33.0,0.7590384419025515
0.5,0.0,0.2,34.0,0.4016656768799758
0.5,0.0,0.2,35.0,0.7171988514525923
0.5,0.0,0.2,36.0,0.9614920168610935
0.5,0.0,0.2,37.0,0.7616284669568242
0.5,0.0,0.2,38.0,0.9278453686021687
0.5,0.0,0.2,39.0,0.9540007701580651
0.5,0.0,0.2,40.0,0.8648140384574334
0.5,0.15,0.0,1.0,0.845116835112723
0.5,0.15,0.0,2.0,0.5152513623439592
0.5,0.15,0.0,3.0,0.7504275993029723
0.5,0.15,0.0,4.0,0.24907519135494427
0.5,0.15,0.0,5.0,0.646384162785425
0.5,0.15,0.0,6.0,0.9434491728549301
0.5,0.15,0.0,7.0,0.8331224615176873
0.5,0.15,0.0,8.0,0.38097179678159365
0.5,0.15,0.0,9.0,0.0
0.5,0.15,0.0,10.0,0.7002239939073525
0.5,0.15,0.0,11.0,0.5485448465340839
0.5,0.15,0.0,12.0,0.7017413069115087
0.5,0.15,0.0,13.0,0.5620582503609186
0.5,0.15,0.0,14.0,0.7511942154508302
0.5,0.15,0.0,15.0,0.6044165163267875
0.5,0.15,0.0,16.0,0.49740610787287526
0.5,0.15,0.0,17.0,0.794998997253577
0.5,0.15,0.0,18.0,0.8331472154124949
0.5,0.15,0.0,19.0,0.6325830914461334
0.5,0.15,0.0,20.0,0.9525749137073045
0.5,0.15,0.0,21.0,0.6685671450006285
0.5,0.15,0.0,22.0,0.8916598626707297
0.5,0.15,0.0,23.0,0.8559159462774377
0.5,0.15,0.0,24.0,0.9436407866924532
0.5,0.15,0.0,25.0,0.7052434197823245
0.5,0.15,0.0,26.0,0.7708953951787961
0.5,0.15,0.0,27.0,0.9171096908101489
0.5,0.15,0.0,28.0,0.9196835704747619
0.5,0.15,0.0,29.0,0.8621862573968415
0.5,0.15,0.0,30.0,0.9256825685571053
0.5,0.15,0.0,31.0,0.31689873854420875
0.5,0.15,0.0,32.0,0.30936053435771466
0.5,0.15,0.0,33.0,0.7738724129439138
0.5,0.15,0.0,34.0,0.42914923996073495
0.5,0.15,0.0,35.0,0.6649425305660174
0.5,0.15,0.0,36.0,0.9749399383670617
0.5,0.15,0.0,37.0,0.8252220252187414
0.5,0.15,0.0,38.0,0.9761662482890642
0.5,0.15,0.0,39.0,0.9815655441606281
0.5,0.15,0.0,40.0,0.7799906315034224
0.5,0.15,0.05,1.0,0.8024298556744894
0.5,0.15,0.05,2.0,0.5144128134001692
0.5,0.15,0.05,3.0,0.7400930585031182
0.5,0.15,0.05,4.0,0.2479824481721596
0.5,0.15,0.05,5.0,0.6533156355405104
0.5,0.15,0.05,6.0,0.9452057922522596
0.5,0.15,0.05,7.0,0.8762181717683946
0.5,0.15,0.05,8.0,0.38097179678159365
0.5,0.15,0.05,9.0,0.0
0.5,0.15,0.05,10.0,0.7035263033985016
0.5,0.15,0.05,11.0,0.5439682224185336
0.5,0.15,0.05,12.0,0.7043067436312196
0.5,0.15,0.05,13.0,0.5614535709703411
0.5,0.15,0.05,14.0,0.7521085355626419
0.5,0.15,0.05,15.0,0.6067234505558933
0.5,0.15,0.05,16.0,0.4973866318009672
0.5,0.15,0.05,17.0,0.7956852724745508
0.5,0.15,0.05,18.0,0.83422581615878
0.5,0.15,0.05,19.0,0.6356922635785653
0.5,0.15,0.05,20.0,0.9530264009234315
0.5,0.15,0.05,21.0,0.6683404460276712
0.5,0.15,0.05,22.0,0.8932948412118954
0.5,0.15,0.05,23.0,0.8594146030574027
0.5,0.15,0.05,24.0,0.9453999775250937
0.5,0.15,0.05,25.0,0.7216737109402829
0.5,0.15,0.05,26.0,0.7708307949183905
0.5,0.15,0.05,27.0,0.9190191118815083
0.5,0.15,0.05,28.0,0.9209319508855756
0.5,0.15,0.05,29.0,0.8639469120756942
0.5,0.15,0.05,30.0,0.9235042980396347
0.5,0.15,0.05,31.0,0.31667590505134224
0.5,0.15,0.05,32.0,0.29969491811908516
0.5,0.15,0.05,33.0,0.7704743958795846
0.5,0.15,0.05,34.0,0.4154417375608439
0.5,0.15,0.05,35.0,0.6644169826265782
0.5,0.15,0.05,36.0,0.9751874737699963
0.5,0.15,0.05,37.0,0.8265230713112707
0.5,0.15,0.05,38.0,0.9761628130532883
0.5,0.15,0.05,39.0,0.9820218244054109
0.5,0.15,0.05,40.0,0.7838487025538514
0.5,0.15,0.1,1.0,0.8034519525244767
0.5,0.15,0.1,2.0,0.5140182151051638
0.5,0.15,0.1,3.0,0.7457392652864246
0.5,0.15,0.1,4.0,0.24694410399804123
0.5,0.15,0.1,5.0,0.6842052485262448
0.5,0.15,0.1,6.0,0.9482883074174951
0.5,0.15,0.1,7.0,0.8822684363314404
0.5,0.15,0.1,8.0,0.38097179678159365
0.5,0.15,0.1,9.0,0.0
0.5,0.15,0.1,10.0,0.7041940514803665
0.5,0.15,0.1,11.0,0.5523282172276174
0.5,0.15,0.1,12.0,0.71095537070453
0.5,0.15,0.1,13.0,0.5394244931608185
0.5,0.15,0.1,14.0,0.7501456772857445
0.5,0.15,0.1,15.0,0.6056794433468563
0.5,0.15,0.1,16.0,0.49797445359226733
0.5,0.15,0.1,17.0,0.7978613841494622
0.5,0.15,0.1,18.0,0.8381831420253858
0.5,0.15,0.1,19.0,0.6389049825028058
0.5,0.15,0.1,20.0,0.950541792000599
0.5,0.15,0.1,21.0,0.6675085378875366
0.5,0.15,0.1,22.0,0.8921860408331382
0.5,0.15,0.1,23.0,0.8617423824815721
0.5,0.15,0.1,24.0,0.9470871724288327
0.5,0.15,0.1,25.0,0.7274260314283154
0.5,0.15,0.1,26.0,0.7702918029773003
0.5,0.15,0.1,27.0,0.9205406570347775
0.5,0.15,0.1,28.0,0.9220149234067169
0.5,0.15,0.1,29.0,0.8682544343728765
0.5,0.15,0.1,30.0,0.9250444940315632
0.5,0.15,0.1,31.0,0.31806759333537205
0.5,0.15,0.1,32.0,0.29541273326841483
0.5,0.15,0.1,33.0,0.7683901876096845
0.5,0.15,0.1,34.0,0.4142062071188917
0.5,0.15,0.1,35.0,0.6653926212266886
0.5,0.15,0.1,36.0,0.975508096510175
0.5,0.15,0.1,37.0,0.8217305357594387
0.5,0.15,0.1,38.0,0.9762555322690486
0.5,0.15,0.1,39.0,0.9825254749390443
0.5,0.15,0.1,40.0,0.7773054277322639
0.5,0.15,0.15,1.0,0.8048352234795724
0.5,0.15,0.15,2.0,0.514944197644153
0.5,0.15,0.15,3.0,0.7471217865003601
0.5,0.15,0.15,4.0,0.24907519135494427
0.5,0.15,0.15,5.0,0.6850826288981807
0.5,0.15,0.15,6.0,0.9502255162562666
0.5,0.15,0.15,7.0,0.8879646761219296
0.5,0.15,0.15,8.0,0.38097179678159365
0.5,0.15,0.15,9.0,0.0
0.5,0.15,0.15,10.0,0.7067580482689549
0.5,0.15,0.15,11.0,0.5443934171878306
0.5,0.15,0.15,12.0,0.7114861028341071
0.5,0.15,0.15,13.0,0.5356536392297557
0.5,0.15,0.15,14.0,0.7495341741312289
0.5,0.15,0.15,15.0,0.6131653853221528
0.5,0.15,0.15,16.0,0.4981571659959089
0.5,0.15,0.15,17.0,0.8004971448582617
0.5,0.15,0.15,18.0,0.8409672922591397
0.5,0.15,0.15,19.0,0.6413889477032384
0.5,0.15,0.15,20.0,0.9503214680470345
0.5,0.15,0.15,21.0,0.681026192061172
0.5,0.15,0.15,22.0,0.8923946149386823
0.5,0.15,0.15,23.0,0.8641708346774294
0.5,0.15,0.15,24.0,0.9476240479932562
0.5,0.15,0.15,25.0,0.7330918583420609
0.5,0.15,0.15,26.0,0.7720769020231819
0.5,0.15,0.15,27.0,0.9234382486748449
0.5,0.15,0.15,28.0,0.9180857287295251
0.5,0.15,0.15,29.0,0.8682239461750458
0.5,0.15,0.15,30.0,0.9258927214332228
0.5,0.15,0.15,31.0,0.31806759333537205
0.5,0.15,0.15,32.0,0.29302714844059913
0.5,0.15,0.15,33.0,0.7676533795273034
0.5,0.15,0.15,34.0,0.4198451338120919
0.5,0.15,0.15,35.0,0.6704007227328259
0.5,0.15,0.15,36.0,0.9760014918308368
0.5,0.15,0.15,37.0,0.8200170691573491
0.5,0.15,0.15,38.0,0.9763765243337311
0.5,0.15,0.15,39.0,0.9828531431932642
0.5,0.15,0.15,40.0,0.7638362429694499
0.5,0.15,0.2,1.0,0.8061188427572852
0.5,0.15,0.2,2.0,0.5170966724025337
0.5,0.15,0.2,3.0,0.7457154757841039
0.5,0.15,0.2,4.0,0.24907519135494427
0.5,0.15,0.2,5.0,0.6903068377232617
0.5,0.15,0.2,6.0,0.9513385602618065
0.5,0.15,0.2,7.0,0.9035521429935278
0.5,0.15,0.2,8.0,0.38097179678159365
0.5,0.15,0.2,9.0,0.0
0.5,0.15,0.2,10.0,0.7072226578350204
0.5,0.15,0.2,11.0,0.5433674860279041
0.5,0.15,0.2,12.0,0.7099515522610401
0.5,0.15,0.2,13.0,0.529025074094171
0.5,0.15,0.2,14.0,0.7501307947540002
0.5,0.15,0.2,15.0,0.6171337090203672
0.5,0.15,0.2,16.0,0.4989199775512008
0.5,0.15,0.2,17.0,0.8013341381651135
0.5,0.15,0.2,18.0,0.8463464536866689
0.5,0.15,0.2,19.0,0.645844849914638
0.5,0.15,0.2,20.0,0.9504104563731746
0.5,0.15,0.2,21.0,0.6864924104546879
0.5,0.15,0.2,22.0,0.8954133800185545
0.5,0.15,0.2,23.0,0.8653509762974623
0.5,0.15,0.2,24.0,0.9486417545988174
0.5,0.15,0.2,25.0,0.7397872377932221
0.5,0.15,0.2,26.0,0.8056326774932946
0.5,0.15,0.2,27.0,0.926673189819504
0.5,0.15,0.2,28.0,0.9187594538695117
0.5,0.15,0.2,29.0,0.8697734063927731
0.5,0.15,0.2,30.0,0.9236109731039452
0.5,0.15,0.2,31.0,0.31806759333537205
0.5,0.15,0.2,32.0,0.2907017542072827
0.5,0.15,0.2,33.0,0.7671513316995799
0.5,0.15,0.2,34.0,0.4191243460943759
0.5,0.15,0.2,35.0,0.6940716162343111
0.5,0.15,0.2,36.0,0.9758673840400494
0.5,0.15,0.2,37.0,0.8177315573243804
0.5,0.15,0.2,38.0,0.9762740451526379
0.5,0.15,0.2,39.0,0.9830097873237373
0.5,0.15,0.2,40.0,0.7413617024037946
0.5,0.25,0.0,1.0,0.832712994823989
0.5,0.25,0.0,2.0,0.5134898637234397
0.5,0.25,0.0,3.0,0.7490560874918205
0.5,0.25,0.0,4.0,0.24694410399804123
0.5,0.25,0.0,5.0,0.6531111572793291
0.5,0.25,0.0,6.0,0.9433529248056003
0.5,0.25,0.0,7.0,0.8505845072893633
0.5,0.25,0.0,8.0,0.38097179678159365
0.5,0.25,0.0,9.0,0.0
0.5,0.25,0.0,10.0,0.6910973783268637
0.5,0.25,0.0,11.0,0.5468789108394619
0.5,0.25,0.0,12.0,0.6979519568040612
0.5,0.25,0.0,13.0,0.5620582503609186
0.5,0.25,0.0,14.0,0.7593767981427724
0.5,0.25,0.0,15.0,0.6025581146562923
0.5,0.25,0.0,16.0,0.49141424407878914
0.5,0.25,0.0,17.0,0.7941552231008436
0.5,0.25,0.0,18.0,0.8272756893303855
0.5,0.25,0.0,19.0,0.6251337898007904
0.5,0.25,0.0,20.0,0.9508839498207374
0.5,0.25,0.0,21.0,0.6677380470017887
0.5,0.25,0.0,22.0,0.8917763585406344
0.5,0.25,0.0,23.0,0.8522092332836926
0.5,0.25,0.0,24.0,0.941465469643562
0.5,0.25,0.0,25.0,0.6985519472358696
0.5,0.25,0.0,26.0,0.7706422054850725
0.5,0.25,0.0,27.0,0.9121000411836758
0.5,0.25,0.0,28.0,0.9185841333541372
0.5,0.25,0.0,29.0,0.8647881204361866
0.5,0.25,0.0,30.0,0.9284564782540955
0.5,0.25,0.0,31.0,0.3171420575108752
0.5,0.25,0.0,32.0,0.3112282537965069
0.5,0.25,0.0,33.0,0.773805048058549
0.5,0.25,0.0,34.0,0.4342525370337113
0.5,0.25,0.0,35.0,0.6637707054934265
0.5,0.25,0.0,36.0,0.9736765945024448
0.5,0.25,0.0,37.0,0.8253415856701158
0.5,0.25,0.0,38.0,0.9756027341594049
0.5,0.25,0.0,39.0,0.9815626852560909
0.5,0.25,0.0,40.0,0.7762493397262632
0.5,0.25,0.05,1.0,0.8343719676781451
0.5,0.25,0.05,2.0,0.5139142583085922
0.5,0.25,0.05,3.0,0.7477233521709231
0.5,0.25,0.05,4.0,0.24694410399804123
0.5,0.25,0.05,5.0,0.6532814415575089
0.5,0.25,0.05,6.0,0.9438448979199617
0.5,0.25,0.05,7.0,0.8503131858616391
0.5,0.25,0.05,8.0,0.38097179678159365
0.5,0.25,0.05,9.0,0.0
0.5,0.25,0.05,10.0,0.6906372804141919
0.5,0.25,0.05,11.0,0.547433677778163
0.5,0.25,0.05,12.0,0.6992253253382259
0.5,0.25,0.05,13.0,0.5617479073914448
0.5,0.25,0.05,14.0,0.7645033336959385
0.5,0.25,0.05,15.0,0.6054371075175233
0.5,0.25,0.05,16.0,0.49067200304561337
0.5,0.25,0.05,17.0,0.7946907959730878
0.5,0.25,0.05,18.0,0.8287051911932024
0.5,0.25,0.05,19.0,0.6251108006639496
0.5,0.25,0.05,20.0,0.9509117221669852
0.5,0.25,0.05,21.0,0.6683027228583247
0.5,0.25,0.05,22.0,0.8919855461043181
0.5,0.25,0.05,23.0,0.8537368444849375
0.5,0.25,0.05,24.0,0.9425447038943443
0.5,0.25,0.05,25.0,0.6989458988492377
0.5,0.25,0.05,26.0,0.7706880341522985
0.5,0.25,0.05,27.0,0.9171046933231548
0.5,0.25,0.05,28.0,0.9186099019514299
0.5,0.25,0.05,29.0,0.8668936857618914
0.5,0.25,0.05,30.0,0.9227671056765689
0.5,0.25,0.05,31.0,0.3171420575108752
0.5,0.25,0.05,32.0,0.30411505460707405
0.5,0.25,0.05,33.0,0.7711574689295115
0.5,0.25,0.05,34.0,0.4346625988541032
0.5,0.25,0.05,35.0,0.6637945712935153
0.5,0.25,0.05,36.0,0.9738112541607801
0.5,0.25,0.05,37.0,0.8244938899924638
0.5,0.25,0.05,38.0,0.9758307459171551
0.5,0.25,0.05,39.0,0.9815135752857612
0.5,0.25,0.05,40.0,0.7773512467112335
0.5,0.25,0.1,1.0,0.8023116825880772
0.5,0.25,0.1,2.0,0.5139718998806755
0.5,0.25,0.1,3.0,0.7388671251061997
0.5,0.25,0.1,4.0,0.24694410399804123
0.5,0.25,0.1,5.0,0.6548359284987247
0.5,0.25,0.1,6.0,0.9449007976281589
0.5,0.25,0.1,7.0,0.8921983612148211
0.5,0.25,0.1,8.0,0.38097179678159365
0.5,0.25,0.1,9.0,0.0
0.5,0.25,0.1,10.0,0.6902944911770112
0.5,0.25,0.1,11.0,0.5478709004050423
0.5,0.25,0.1,12.0,0.7001003355879686
0.5,0.25,0.1,13.0,0.5548250058347565
0.5,0.25,0.1,14.0,0.7624079748517286
0.5,0.25,0.1,15.0,0.6066422972017397
0.5,0.25,0.1,16.0,0.49089948309153164
0.5,0.25,0.1,17.0,0.795016993926583
0.5,0.25,0.1,18.0,0.828122561910061
0.5,0.25,0.1,19.0,0.6299717473891805
0.5,0.25,0.1,20.0,0.9506345741281068
0.5,0.25,0.1,21.0,0.6674924144866616
0.5,0.25,0.1,22.0,0.8932882538934352
0.5,0.25,0.1,23.0,0.8571008889143376
0.5,0.25,0.1,24.0,0.9442449293421559
0.5,0.25,0.1,25.0,0.7035988216718466
0.5,0.25,0.1,26.0,0.7697052312626
0.5,0.25,0.1,27.0,0.9180297578602862
0.5,0.25,0.1,28.0,0.9186417330729086
0.5,0.25,0.1,29.0,0.8705626428245736
0.5,0.25,0.1,30.0,0.9236781141846299
