alpha,beta,gamma,qid,nDCG
0.75,0.0,0.15,37.0,0.7617266099599218
0.75,0.0,0.15,38.0,0.9272865347449382
0.75,0.0,0.15,39.0,0.9538780992123436
0.75,0.0,0.15,40.0,0.8654047481116859
0.75,0.0,0.2,1.0,0.7647809003624646
0.75,0.0,0.2,2.0,0.7837400508859813
0.75,0.0,0.2,3.0,0.8027195419042127
0.75,0.0,0.2,4.0,0.2861563362915474
0.75,0.0,0.2,5.0,0.5969997775972987
0.75,0.0,0.2,6.0,0.9183803003692234
0.75,0.0,0.2,7.0,0.8187576572086069
0.75,0.0,0.2,8.0,0.38097179678159365
0.75,0.0,0.2,9.0,0.0
0.75,0.0,0.2,10.0,0.7460981570733123
0.75,0.0,0.2,11.0,0.534147486649862
0.75,0.0,0.2,12.0,0.69603921604241
0.75,0.0,0.2,13.0,0.5106153930421619
0.75,0.0,0.2,14.0,0.7505998004122226
0.75,0.0,0.2,15.0,0.5898758439556891
0.75,0.0,0.2,16.0,0.750025488910772
0.75,0.0,0.2,17.0,0.8618687718780377
0.75,0.0,0.2,18.0,0.9391596498014522
0.75,0.0,0.2,19.0,0.694804783376636
0.75,0.0,0.2,20.0,0.9588644343489398
0.75,0.0,0.2,21.0,0.8109144005428242
0.75,0.0,0.2,22.0,0.7194343085666517
0.75,0.0,0.2,23.0,0.8581051237730757
0.75,0.0,0.2,24.0,0.947424638920096
0.75,0.0,0.2,25.0,0.7809469315392387
0.75,0.0,0.2,26.0,0.8828896553056066
0.75,0.0,0.2,27.0,0.9452564646165647
0.75,0.0,0.2,28.0,0.9675248942864494
0.75,0.0,0.2,29.0,0.7920366796866464
0.75,0.0,0.2,30.0,0.9181821208516885
0.75,0.0,0.2,31.0,0.34111602847245287
0.75,0.0,0.2,32.0,0.5599783613971648
0.75,0.0,0.2,33.0,0.7589732487572712
0.75,0.0,0.2,34.0,0.4023799058257125
0.75,0.0,0.2,35.0,0.7171988514525923
0.75,0.0,0.2,36.0,0.9614920168610935
0.75,0.0,0.2,37.0,0.7616284669568242
0.75,0.0,0.2,38.0,0.9278594099205906
0.75,0.0,0.2,39.0,0.9538780992123436
0.75,0.0,0.2,40.0,0.8648520682273216
0.75,0.15,0.0,1.0,0.8450699614776394
0.75,0.15,0.0,2.0,0.5153980812683872
0.75,0.15,0.0,3.0,0.7520433580975705
0.75,0.15,0.0,4.0,0.24887425298214708
0.75,0.15,0.0,5.0,0.6462165711045057
0.75,0.15,0.0,6.0,0.9445642364655921
0.75,0.15,0.0,7.0,0.8409116998230671
0.75,0.15,0.0,8.0,0.38097179678159365
0.75,0.15,0.0,9.0,0.0
0.75,0.15,0.0,10.0,0.6931609073728867
0.75,0.15,0.0,11.0,0.5416883026264163
0.75,0.15,0.0,12.0,0.7034571318889657
0.75,0.15,0.0,13.0,0.5620582503609186
0.75,0.15,0.0,14.0,0.747303165597573
0.75,0.15,0.0,15.0,0.606462947860482
0.75,0.15,0.0,16.0,0.5029818684874698
0.75,0.15,0.0,17.0,0.7954691604990203
0.75,0.15,0.0,18.0,0.8359107199365333
0.75,0.15,0.0,19.0,0.6413595822760642
0.75,0.15,0.0,20.0,0.9518247177414699
0.75,0.15,0.0,21.0,0.6684174528102292
0.75,0.15,0.0,22.0,0.8917185860753296
0.75,0.15,0.0,23.0,0.8593612233126571
0.75,0.15,0.0,24.0,0.9444950873970818
0.75,0.15,0.0,25.0,0.7287324864513544
0.75,0.15,0.0,26.0,0.7710368541035083
0.75,0.15,0.0,27.0,0.9181569309995851
0.75,0.15,0.0,28.0,0.9233187938628517
0.75,0.15,0.0,29.0,0.8609085656439569
0.75,0.15,0.0,30.0,0.9259160527027565
0.75,0.15,0.0,31.0,0.3171420575108752
0.75,0.15,0.0,32.0,0.3092549791904538
0.75,0.15,0.0,33.0,0.7744286751956799
0.75,0.15,0.0,34.0,0.42709358646877493
0.75,0.15,0.0,35.0,0.6656592815813008
0.75,0.15,0.0,36.0,0.9743324998383437
0.75,0.15,0.0,37.0,0.8255691878815992
0.75,0.15,0.0,38.0,0.9762949333415748
0.75,0.15,0.0,39.0,0.9822143853419965
0.75,0.15,0.0,40.0,0.7939101042661623
0.75,0.15,0.05,1.0,0.833124989097767
0.75,0.15,0.05,2.0,0.5161516954401797
0.75,0.15,0.05,3.0,0.7435080176204305
0.75,0.15,0.05,4.0,0.24907519135494427
0.75,0.15,0.05,5.0,0.6477050370773519
0.75,0.15,0.05,6.0,0.9451135982191252
0.75,0.15,0.05,7.0,0.8435424815583463
0.75,0.15,0.05,8.0,0.38097179678159365
0.75,0.15,0.05,9.0,0.0
0.75,0.15,0.05,10.0,0.6941484280214176
0.75,0.15,0.05,11.0,0.5405777514770844
0.75,0.15,0.05,12.0,0.7091619150436956
0.75,0.15,0.05,13.0,0.5620582503609186
0.75,0.15,0.05,14.0,0.7476192362990969
0.75,0.15,0.05,15.0,0.6073583546280689
0.75,0.15,0.05,16.0,0.5057876215532828
0.75,0.15,0.05,17.0,0.7975691182811813
0.75,0.15,0.05,18.0,0.8387691238820875
0.75,0.15,0.05,19.0,0.6479108445257945
0.75,0.15,0.05,20.0,0.952193278760432
0.75,0.15,0.05,21.0,0.669176897049359
0.75,0.15,0.05,22.0,0.8926544601257358
0.75,0.15,0.05,23.0,0.8619953990191177
0.75,0.15,0.05,24.0,0.9452878932961206
0.75,0.15,0.05,25.0,0.7294434487248874
0.75,0.15,0.05,26.0,0.7714254318023613
0.75,0.15,0.05,27.0,0.9208052600906739
0.75,0.15,0.05,28.0,0.9237782406077626
0.75,0.15,0.05,29.0,0.8581699516507222
0.75,0.15,0.05,30.0,0.9261111426383516
0.75,0.15,0.05,31.0,0.31689873854420875
0.75,0.15,0.05,32.0,0.30396223717442333
0.75,0.15,0.05,33.0,0.7738954065835815
0.75,0.15,0.05,34.0,0.40589691746842077
0.75,0.15,0.05,35.0,0.6651921660991053
0.75,0.15,0.05,36.0,0.9753184136891297
0.75,0.15,0.05,37.0,0.824273189518339
0.75,0.15,0.05,38.0,0.9764636779824538
0.75,0.15,0.05,39.0,0.9825448578514149
0.75,0.15,0.05,40.0,0.7809438393149118
0.75,0.15,0.1,1.0,0.8032729011567782
0.75,0.15,0.1,2.0,0.5172077125932456
0.75,0.15,0.1,3.0,0.7468599837831374
0.75,0.15,0.1,4.0,0.25022735989374084
0.75,0.15,0.1,5.0,0.6815597474302099
0.75,0.15,0.1,6.0,0.9485408137816099
0.75,0.15,0.1,7.0,0.8802847996879565
0.75,0.15,0.1,8.0,0.38097179678159365
0.75,0.15,0.1,9.0,0.0
0.75,0.15,0.1,10.0,0.6914948473762419
0.75,0.15,0.1,11.0,0.5403586355901611
0.75,0.15,0.1,12.0,0.7116559406503639
0.75,0.15,0.1,13.0,0.5499100162262257
0.75,0.15,0.1,14.0,0.7459155196703542
0.75,0.15,0.1,15.0,0.6070520380139003
0.75,0.15,0.1,16.0,0.5047268816232048
0.75,0.15,0.1,17.0,0.798828251502172
0.75,0.15,0.1,18.0,0.8431354043389414
0.75,0.15,0.1,19.0,0.6520712900370136
0.75,0.15,0.1,20.0,0.9521677261206364
0.75,0.15,0.1,21.0,0.6695464659602521
0.75,0.15,0.1,22.0,0.8918494745489757
0.75,0.15,0.1,23.0,0.8637178912992255
0.75,0.15,0.1,24.0,0.9475352329249096
0.75,0.15,0.1,25.0,0.7352459200518711
0.75,0.15,0.1,26.0,0.7708459012017588
0.75,0.15,0.1,27.0,0.9231871878964738
0.75,0.15,0.1,28.0,0.9204734973473855
0.75,0.15,0.1,29.0,0.8542999037749035
0.75,0.15,0.1,30.0,0.929113974254128
0.75,0.15,0.1,31.0,0.31852311913419235
0.75,0.15,0.1,32.0,0.2985041009578822
0.75,0.15,0.1,33.0,0.7692317349504466
0.75,0.15,0.1,34.0,0.4064554707781919
0.75,0.15,0.1,35.0,0.6669913927141659
0.75,0.15,0.1,36.0,0.9754616607394009
0.75,0.15,0.1,37.0,0.8221421808905715
0.75,0.15,0.1,38.0,0.9764750408180003
0.75,0.15,0.1,39.0,0.9829263761975432
0.75,0.15,0.1,40.0,0.7733316646186424
0.75,0.15,0.15,1.0,0.8042546144772821
0.75,0.15,0.15,2.0,0.5174230122730842
0.75,0.15,0.15,3.0,0.7434178852999793
0.75,0.15,0.15,4.0,0.24907519135494427
0.75,0.15,0.15,5.0,0.6828792096407699
0.75,0.15,0.15,6.0,0.9501144611138336
0.75,0.15,0.15,7.0,0.8870900174544301
0.75,0.15,0.15,8.0,0.38097179678159365
0.75,0.15,0.15,9.0,0.0
0.75,0.15,0.15,10.0,0.6969928589598336
0.75,0.15,0.15,11.0,0.5370118406068862
0.75,0.15,0.15,12.0,0.7156370268623204
0.75,0.15,0.15,13.0,0.5356536392297557
0.75,0.15,0.15,14.0,0.7452047245488426
0.75,0.15,0.15,15.0,0.6140246433255895
0.75,0.15,0.15,16.0,0.5047622349865468
0.75,0.15,0.15,17.0,0.8016116190053126
0.75,0.15,0.15,18.0,0.8463600825182127
0.75,0.15,0.15,19.0,0.6576889385303345
0.75,0.15,0.15,20.0,0.9519277647237899
0.75,0.15,0.15,21.0,0.6827083977038199
0.75,0.15,0.15,22.0,0.892653091044549
0.75,0.15,0.15,23.0,0.867532470765177
0.75,0.15,0.15,24.0,0.948543443515722
0.75,0.15,0.15,25.0,0.7410496664357649
0.75,0.15,0.15,26.0,0.7736513740805955
0.75,0.15,0.15,27.0,0.9283848570241352
0.75,0.15,0.15,28.0,0.9222808724757222
0.75,0.15,0.15,29.0,0.8542195123631422
0.75,0.15,0.15,30.0,0.9265723851360277
0.75,0.15,0.15,31.0,0.31806759333537205
0.75,0.15,0.15,32.0,0.2951071517894569
0.75,0.15,0.15,33.0,0.768936678641966
0.75,0.15,0.15,34.0,0.4102407151580212
0.75,0.15,0.15,35.0,0.6860160402938593
0.75,0.15,0.15,36.0,0.9757050058478853
0.75,0.15,0.15,37.0,0.8200333153180634
0.75,0.15,0.15,38.0,0.9763840866264176
0.75,0.15,0.15,39.0,0.983094670141571
0.75,0.15,0.15,40.0,0.7543705024538917
0.75,0.15,0.2,1.0,0.8070430877506097
0.75,0.15,0.2,2.0,0.5184640705924926
0.75,0.15,0.2,3.0,0.7473217603612005
0.75,0.15,0.2,4.0,0.24694410399804123
0.75,0.15,0.2,5.0,0.6868901882406724
0.75,0.15,0.2,6.0,0.9509902835796917
0.75,0.15,0.2,7.0,0.8890068760602641
0.75,0.15,0.2,8.0,0.38097179678159365
0.75,0.15,0.2,9.0,0.0
0.75,0.15,0.2,10.0,0.7039912003351712
0.75,0.15,0.2,11.0,0.5586484489552387
0.75,0.15,0.2,12.0,0.716323173500467
0.75,0.15,0.2,13.0,0.529025074094171
0.75,0.15,0.2,14.0,0.7466538640539274
0.75,0.15,0.2,15.0,0.6174590125627553
0.75,0.15,0.2,16.0,0.5045644286097574
0.75,0.15,0.2,17.0,0.8015661914386374
0.75,0.15,0.2,18.0,0.8503448514582299
0.75,0.15,0.2,19.0,0.6663490429445077
0.75,0.15,0.2,20.0,0.9518239594462486
0.75,0.15,0.2,21.0,0.6883311975220601
0.75,0.15,0.2,22.0,0.8948252278347174
0.75,0.15,0.2,23.0,0.8709094825509147
0.75,0.15,0.2,24.0,0.9494599630378399
0.75,0.15,0.2,25.0,0.7398983031595138
0.75,0.15,0.2,26.0,0.8069577442087081
0.75,0.15,0.2,27.0,0.9303153892700459
0.75,0.15,0.2,28.0,0.9257216416971389
0.75,0.15,0.2,29.0,0.8525334390768898
0.75,0.15,0.2,30.0,0.9271921573488038
0.75,0.15,0.2,31.0,0.31806759333537205
0.75,0.15,0.2,32.0,0.2932610228122068
0.75,0.15,0.2,33.0,0.7687888657578181
0.75,0.15,0.2,34.0,0.4112875736554862
0.75,0.15,0.2,35.0,0.6893890554579885
0.75,0.15,0.2,36.0,0.9759558540849165
0.75,0.15,0.2,37.0,0.815543494072739
0.75,0.15,0.2,38.0,0.976353479346581
0.75,0.15,0.2,39.0,0.9830710020263488
0.75,0.15,0.2,40.0,0.7543041647882128
0.75,0.25,0.0,1.0,0.845096464580056
0.75,0.25,0.0,2.0,0.514575979841019
0.75,0.25,0.0,3.0,0.7501714724976964
0.75,0.25,0.0,4.0,0.24907519135494427
0.75,0.25,0.0,5.0,0.6463051117814804
0.75,0.25,0.0,6.0,0.9432833130165946
0.75,0.25,0.0,7.0,0.8341190137942629
0.75,0.25,0.0,8.0,0.38097179678159365
0.75,0.25,0.0,9.0,0.0
0.75,0.25,0.0,10.0,0.7001955575790109
0.75,0.25,0.0,11.0,0.550152981286857
0.75,0.25,0.0,12.0,0.7006568108061694
0.75,0.25,0.0,13.0,0.5620582503609186
0.75,0.25,0.0,14.0,0.7517276492181771
0.75,0.25,0.0,15.0,0.6045925997442473
0.75,0.25,0.0,16.0,0.49655164571803573
0.75,0.25,0.0,17.0,0.7945446806083584
0.75,0.25,0.0,18.0,0.8284593139981259
0.75,0.25,0.0,19.0,0.6320509064587735
0.75,0.25,0.0,20.0,0.9522845705063836
0.75,0.25,0.0,21.0,0.6678994585698659
0.75,0.25,0.0,22.0,0.8915904419487004
0.75,0.25,0.0,23.0,0.8555048129855047
0.75,0.25,0.0,24.0,0.9421800189857017
0.75,0.25,0.0,25.0,0.7047167238692047
0.75,0.25,0.0,26.0,0.7707106075508217
0.75,0.25,0.0,27.0,0.9158981491898461
0.75,0.25,0.0,28.0,0.9189917102672853
0.75,0.25,0.0,29.0,0.8629201497570178
0.75,0.25,0.0,30.0,0.9255052623392038
0.75,0.25,0.0,31.0,0.3171420575108752
0.75,0.25,0.0,32.0,0.30936053435771466
0.75,0.25,0.0,33.0,0.7736286373816381
0.75,0.25,0.0,34.0,0.4279844606988117
0.75,0.25,0.0,35.0,0.6636830619850075
0.75,0.25,0.0,36.0,0.9735530534389036
0.75,0.25,0.0,37.0,0.8254397286732135
0.75,0.25,0.0,38.0,0.9759076660201436
0.75,0.25,0.0,39.0,0.9813781374621289
0.75,0.25,0.0,40.0,0.777602933585355
0.75,0.25,0.05,1.0,0.8347901185748658
0.75,0.25,0.05,2.0,0.5149808929556413
0.75,0.25,0.05,3.0,0.7400698256774241
0.75,0.25,0.05,4.0,0.24694410399804123
0.75,0.25,0.05,5.0,0.6528011019153528
0.75,0.25,0.05,6.0,0.9446424181352702
0.75,0.25,0.05,7.0,0.8456593864459074
0.75,0.25,0.05,8.0,0.38097179678159365
0.75,0.25,0.05,9.0,0.0
0.75,0.25,0.05,10.0,0.7002712263510986
0.75,0.25,0.05,11.0,0.5497584674878718
0.75,0.25,0.05,12.0,0.7012605837990569
0.75,0.25,0.05,13.0,0.5617479073914448
0.75,0.25,0.05,14.0,0.7526144371506951
0.75,0.25,0.05,15.0,0.6057414773907982
0.75,0.25,0.05,16.0,0.4962533485017743
0.75,0.25,0.05,17.0,0.7945228135429113
0.75,0.25,0.05,18.0,0.8324973099812396
0.75,0.25,0.05,19.0,0.6334420863936351
0.75,0.25,0.05,20.0,0.9522161257270767
0.75,0.25,0.05,21.0,0.6687618849602522
0.75,0.25,0.05,22.0,0.892336071640253
0.75,0.25,0.05,23.0,0.8576136642688286
0.75,0.25,0.05,24.0,0.9444074038982534
0.75,0.25,0.05,25.0,0.7093219553195736
0.75,0.25,0.05,26.0,0.7708577701002391
0.75,0.25,0.05,27.0,0.9178805735881045
0.75,0.25,0.05,28.0,0.9195807193338754
0.75,0.25,0.05,29.0,0.8652510249413253
0.75,0.25,0.05,30.0,0.9237358751152428
0.75,0.25,0.05,31.0,0.31667590505134224
0.75,0.25,0.05,32.0,0.30231962219133585
0.75,0.25,0.05,33.0,0.7727406460889766
0.75,0.25,0.05,34.0,0.43102524478925586
0.75,0.25,0.05,35.0,0.6649425305660174
0.75,0.25,0.05,36.0,0.9752155889149751
0.75,0.25,0.05,37.0,0.8246456226940547
0.75,0.25,0.05,38.0,0.9758350544519686
0.75,0.25,0.05,39.0,0.9814425679829103
0.75,0.25,0.05,40.0,0.7820259253107955
0.75,0.25,0.1,1.0,0.8024165116901303
0.75,0.25,0.1,2.0,0.5144128134001692
0.75,0.25,0.1,3.0,0.7400172763460942
0.75,0.25,0.1,4.0,0.24694410399804123
0.75,0.25,0.1,5.0,0.6552121012054236
0.75,0.25,0.1,6.0,0.9452335697628341
0.75,0.25,0.1,7.0,0.8819597236236848
0.75,0.25,0.1,8.0,0.38097179678159365
0.75,0.25,0.1,9.0,0.0
0.75,0.25,0.1,10.0,0.7020297549412324
0.75,0.25,0.1,11.0,0.5433011761628229
0.75,0.25,0.1,12.0,0.7031398267311401
0.75,0.25,0.1,13.0,0.5548250058347565
0.75,0.25,0.1,14.0,0.7533314329867357
0.75,0.25,0.1,15.0,0.6068351065536467
0.75,0.25,0.1,16.0,0.4953633261231253
0.75,0.25,0.1,17.0,0.7964559109754404
0.75,0.25,0.1,18.0,0.8330064414586663
0.75,0.25,0.1,19.0,0.6353899242312968
0.75,0.25,0.1,20.0,0.952770044512774
0.75,0.25,0.1,21.0,0.6680413445396889
0.75,0.25,0.1,22.0,0.8933439946088612
0.75,0.25,0.1,23.0,0.8591559057601225
0.75,0.25,0.1,24.0,0.9455261409626547
0.75,0.25,0.1,25.0,0.7205357840813134
0.75,0.25,0.1,26.0,0.7705913626438256
0.75,0.25,0.1,27.0,0.9190504993278925
0.75,0.25,0.1,28.0,0.9199591474695239
0.75,0.25,0.1,29.0,0.8687217331013675
0.75,0.25,0.1,30.0,0.9236614194506837
0.75,0.25,0.1,31.0,0.3183002856413259
0.75,0.25,0.1,32.0,0.2993894286309759
0.75,0.25,0.1,33.0,0.7695505236222219
0.75,0.25,0.1,34.0,0.4154417375608439
0.75,0.25,0.1,35.0,0.6644169826265782
0.75,0.25,0.1,36.0,0.9754086316359084
0.75,0.25,0.1,37.0,0.8266295416500169
0.75,0.25,0.1,38.0,0.9758548130543709
0.75,0.25,0.1,39.0,0.9818222557198902
0.75,0.25,0.1,40.0,0.7842902871219086
0.75,0.25,0.15,1.0,0.8020348464187946
0.75,0.25,0.15,2.0,0.513699598895867
0.75,0.25,0.15,3.0,0.7456349056142422
0.75,0.25,0.15,4.0,0.24694410399804123
0.75,0.25,0.15,5.0,0.6836473753766421
0.75,0.25,0.15,6.0,0.9451668402737001
0.75,0.25,0.15,7.0,0.8818151876906072
0.75,0.25,0.15,8.0,0.38097179678159365
0.75,0.25,0.15,9.0,0.0
0.75,0.25,0.15,10.0,0.706479518355835
0.75,0.25,0.15,11.0,0.5440384192627794
0.75,0.25,0.15,12.0,0.7100383233756745
0.75,0.25,0.15,13.0,0.5499100162262257
0.75,0.25,0.15,14.0,0.7523511620905935
0.75,0.25,0.15,15.0,0.606130073471303
0.75,0.25,0.15,16.0,0.4960783451269273
0.75,0.25,0.15,17.0,0.7973744023894183
0.75,0.25,0.15,18.0,0.8366036978383591
0.75,0.25,0.15,19.0,0.6373550770196809
0.75,0.25,0.15,20.0,0.9529227827615799
0.75,0.25,0.15,21.0,0.6675085378875366
0.75,0.25,0.15,22.0,0.892576295774335
0.75,0.25,0.15,23.0,0.8607224909023875
0.75,0.25,0.15,24.0,0.9456445690124021
0.75,0.25,0.15,25.0,0.7268685924361079
0.75,0.25,0.15,26.0,0.76978840228192
0.75,0.25,0.15,27.0,0.919378136114023
0.75,0.25,0.15,28.0,0.9199108916344
0.75,0.25,0.15,29.0,0.8685693412864677
0.75,0.25,0.15,30.0,0.9244372884647052
0.75,0.25,0.15,31.0,0.31806759333537205
0.75,0.25,0.15,32.0,0.2964167187868126
0.75,0.25,0.15,33.0,0.7681090298946422
0.75,0.25,0.15,34.0,0.41821016591116356
0.75,0.25,0.15,35.0,0.6646174377541616
0.75,0.25,0.15,36.0,0.9754401345151085
0.75,0.25,0.15,37.0,0.821731671441326
0.75,0.25,0.15,38.0,0.9759789543302267
0.75,0.25,0.15,39.0,0.9824121720047825
0.75,0.25,0.15,40.0,0.7791053680753093
0.75,0.25,0.2,1.0,0.8039911679998099
0.75,0.25,0.2,2.0,0.5139781314179753
0.75,0.25,0.2,3.0,0.7460964432597667
0.75,0.25,0.2,4.0,0.24907519135494427
0.75,0.25,0.2,5.0,0.6836675747313945
0.75,0.25,0.2,6.0,0.9480915314491478
0.75,0.25,0.2,7.0,0.8931785460414018
0.75,0.25,0.2,8.0,0.38097179678159365
0.75,0.25,0.2,9.0,0.0
0.75,0.25,0.2,10.0,0.7067242354699137
0.75,0.25,0.2,11.0,0.551680951431034
0.75,0.25,0.2,12.0,0.7106576199044871
0.75,0.25,0.2,13.0,0.5392663856628903
0.75,0.25,0.2,14.0,0.7515610409949399
0.75,0.25,0.2,15.0,0.611642877658034
0.75,0.25,0.2,16.0,0.4972583789335973
0.75,0.25,0.2,17.0,0.7984690063336312
0.75,0.25,0.2,18.0,0.8394493806559086
0.75,0.25,0.2,19.0,0.6372818379657272
0.75,0.25,0.2,20.0,0.9524183174316131
0.75,0.25,0.2,21.0,0.6713642980834433
0.75,0.25,0.2,22.0,0.892188063646366
0.75,0.25,0.2,23.0,0.8624142626514701
0.75,0.25,0.2,24.0,0.9471778613813819
0.75,0.25,0.2,25.0,0.7289518123504857
0.75,0.25,0.2,26.0,0.7703971897588682
0.75,0.25,0.2,27.0,0.9208701519249181
0.75,0.25,0.2,28.0,0.9210281419462311
0.75,0.25,0.2,29.0,0.8686151627097024
0.75,0.25,0.2,30.0,0.9255617367591014
0.75,0.25,0.2,31.0,0.31806759333537205
0.75,0.25,0.2,32.0,0.29448539554228004
0.75,0.25,0.2,33.0,0.7681662069558699
0.75,0.25,0.2,34.0,0.4138853192214201
0.75,0.25,0.2,35.0,0.6655192526299174
0.75,0.25,0.2,36.0,0.975508096510175
0.75,0.25,0.2,37.0,0.8224287902063567
0.75,0.25,0.2,38.0,0.9760703661558431
0.75,0.25,0.2,39.0,0.9826971867559237
0.75,0.25,0.2,40.0,0.7739815330951837
0.75,0.4,0.0,1.0,0.8312110910065835
0.75,0.4,0.0,2.0,0.5134133947232326
0.75,0.4,0.0,3.0,0.7490560874918205
0.75,0.4,0.0,4.0,0.24694410399804123
0.75,0.4,0.0,5.0,0.6526609910241482
0.75,0.4,0.0,6.0,0.9433529248056003
0.75,0.4,0.0,7.0,0.8502924252744344
0.75,0.4,0.0,8.0,0.38097179678159365
0.75,0.4,0.0,9.0,0.0
0.75,0.4,0.0,10.0,0.6906802525781565
0.75,0.4,0.0,11.0,0.5426925588055819
0.75,0.4,0.0,12.0,0.6975441432665107
0.75,0.4,0.0,13.0,0.5617479073914448
0.75,0.4,0.0,14.0,0.7646472667207821
0.75,0.4,0.0,15.0,0.6025581146562923
0.75,0.4,0.0,16.0,0.490922608337519
0.75,0.4,0.0,17.0,0.7939260900138924
0.75,0.4,0.0,18.0,0.8268221936478349
0.75,0.4,0.0,19.0,0.6232710844608468
0.75,0.4,0.0,20.0,0.9505608810139357
0.75,0.4,0.0,21.0,0.667670460128714
0.75,0.4,0.0,22.0,0.8917763585406344
0.75,0.4,0.0,23.0,0.8517061066138326
0.75,0.4,0.0,24.0,0.9413794985359891
0.75,0.4,0.0,25.0,0.6986145024668354
0.75,0.4,0.0,26.0,0.7706044562942849
0.75,0.4,0.0,27.0,0.9121000411836758
0.75,0.4,0.0,28.0,0.9187424489294435
0.75,0.4,0.0,29.0,0.8660545493666704
0.75,0.4,0.0,30.0,0.9284073175012665
0.75,0.4,0.0,31.0,0.3171420575108752
0.75,0.4,0.0,32.0,0.3112282537965069
0.75,0.4,0.0,33.0,0.773805048058549
0.75,0.4,0.0,34.0,0.43460869287524745
0.75,0.4,0.0,35.0,0.6637707054934265
0.75,0.4,0.0,36.0,0.9737268948040467
0.75,0.4,0.0,37.0,0.8255671595837761
0.75,0.4,0.0,38.0,0.9756027341594049
0.75,0.4,0.0,39.0,0.9815864987163286
0.75,0.4,0.0,40.0,0.7761243347695379
0.75,0.4,0.05,1.0,0.8341727996089722
0.75,0.4,0.05,2.0,0.5136111096186129
0.75,0.4,0.05,3.0,0.747904637379414
0.75,0.4,0.05,4.0,0.24694410399804123
0.75,0.4,0.05,5.0,0.6532814415575089
0.75,0.4,0.05,6.0,0.9436622638593926
0.75,0.4,0.05,7.0,0.8500484061473731
0.75,0.4,0.05,8.0,0.38097179678159365
0.75,0.4,0.05,9.0,0.0
0.75,0.4,0.05,10.0,0.6912057077614104
0.75,0.4,0.05,11.0,0.5468789108394619
0.75,0.4,0.05,12.0,0.6990766793899205
0.75,0.4,0.05,13.0,0.5617479073914448
0.75,0.4,0.05,14.0,0.765156577206917
0.75,0.4,0.05,15.0,0.6055594984735454
0.75,0.4,0.05,16.0,0.4907834966069212
0.75,0.4,0.05,17.0,0.7946374556111306
0.75,0.4,0.05,18.0,0.8267684924199715
0.75,0.4,0.05,19.0,0.6232710844608468
0.75,0.4,0.05,20.0,0.950405632431907
0.75,0.4,0.05,21.0,0.667456551226069
0.75,0.4,0.05,22.0,0.8919855461043181
0.75,0.4,0.05,23.0,0.8524160411594134
0.75,0.4,0.05,24.0,0.9421075535678959
0.75,0.4,0.05,25.0,0.6987443971426219
0.75,0.4,0.05,26.0,0.7699420316130613
0.75,0.4,0.05,27.0,0.9143814697477114
0.75,0.4,0.05,28.0,0.9186718543260415
0.75,0.4,0.05,29.0,0.8684803766600513
0.75,0.4,0.05,30.0,0.9227992337114294
0.75,0.4,0.05,31.0,0.3171420575108752
0.75,0.4,0.05,32.0,0.3055780863106724
0.75,0.4,0.05,33.0,0.7732119754852826
0.75,0.4,0.05,34.0,0.4347479236981491
0.75,0.4,0.05,35.0,0.6633561253833867
0.75,0.4,0.05,36.0,0.9738722029228513
0.75,0.4,0.05,37.0,0.8253193596857656
0.75,0.4,0.05,38.0,0.9759473064657537
0.75,0.4,0.05,39.0,0.9815626852560909
0.75,0.4,0.05,40.0,0.7767867140617137
0.75,0.4,0.1,1.0,0.8009746229351536
0.75,0.4,0.1,2.0,0.5139142583085922
0.75,0.4,0.1,3.0,0.7475281790022319
0.75,0.4,0.1,4.0,0.24694410399804123
0.75,0.4,0.1,5.0,0.6532814415575089
0.75,0.4,0.1,6.0,0.9438657521951302
0.75,0.4,0.1,7.0,0.8815293143965809
0.75,0.4,0.1,8.0,0.38097179678159365
0.75,0.4,0.1,9.0,0.0
0.75,0.4,0.1,10.0,0.6906372804141919
0.75,0.4,0.1,11.0,0.547433677778163
0.75,0.4,0.1,12.0,0.6992253253382259
0.75,0.4,0.1,13.0,0.5617479073914448
0.75,0.4,0.1,14.0,0.7647866260953047
0.75,0.4,0.1,15.0,0.6057771898975404
0.75,0.4,0.1,16.0,0.4904586198649562
0.75,0.4,0.1,17.0,0.7941528682381885
0.75,0.4,0.1,18.0,0.8273694996977223
0.75,0.4,0.1,19.0,0.6231568626387899
0.75,0.4,0.1,20.0,0.9504889243446965
0.75,0.4,0.1,21.0,0.6683478516294163
0.75,0.4,0.1,22.0,0.8930381537198203
0.75,0.4,0.1,23.0,0.8545985537020552
0.75,0.4,0.1,24.0,0.9421690346591742
0.75,0.4,0.1,25.0,0.6988685550986498
0.75,0.4,0.1,26.0,0.7700709928610002
0.75,0.4,0.1,27.0,0.9171339161979727
0.75,0.4,0.1,28.0,0.9186720840101881
0.75,0.4,0.1,29.0,0.870478551212862
0.75,0.4,0.1,30.0,0.9235970650113334
0.75,0.4,0.1,31.0,0.3171420575108752
0.75,0.4,0.1,32.0,0.3031442026363988
0.75,0.4,0.1,33.0,0.7702057916831292
0.75,0.4,0.1,34.0,0.4346625988541032
0.75,0.4,0.1,35.0,0.6644608208328153
0.75,0.4,0.1,36.0,0.9739646689294302
0.75,0.4,0.1,37.0,0.8243630333903836
0.75,0.4,0.1,38.0,0.9758144480077083
0.75,0.4,0.1,39.0,0.9815135752857612
0.75,0.4,0.1,40.0,0.7757387070096191
